image_id,species_observed,location,latitude,longitude,timestamp,camera_type,depth_m
20240315_MBAY_001,Blue Whale,Monterey Bay,36.8008,-121.9475,2024-03-15T08:42:00,AERIAL_DRONE,0
20240315_MBAY_002,Humpback Whale,Monterey Bay,36.7954,-121.9612,2024-03-15T09:17:00,AERIAL_DRONE,0
20240316_CINMS_003,Giant Sea Bass,Channel Islands NMS,34.0195,-119.7782,2024-03-16T11:05:00,ROV,42
20240316_CINMS_004,California Sheephead,Channel Islands NMS,34.0221,-119.7614,2024-03-16T11:48:00,ROV,28
20240317_PFCA_005,Northern Elephant Seal,Point Farallon,37.6986,-123.0006,2024-03-17T07:30:00,TRAIL_CAM,0
20240317_PFCA_006,Steller Sea Lion,Point Farallon,37.6991,-123.0011,2024-03-17T07:55:00,TRAIL_CAM,0
20240318_GLDR_007,Pacific White-sided Dolphin,Central CA Coast,36.5543,-122.8771,2024-03-18T14:20:00,GLIDER,15
20240318_GLDR_008,Common Dolphin,Central CA Coast,36.4902,-122.9134,2024-03-18T15:03:00,GLIDER,22
20240319_MBAY_009,Sea Otter,Elkhorn Slough,36.8376,-121.7427,2024-03-19T10:12:00,AERIAL_DRONE,0
20240319_CINMS_010,Bocaccio Rockfish,Channel Islands NMS,34.0018,-119.8203,2024-03-19T13:40:00,ROV,95
20240320_PFCA_011,unidentified,Cordell Bank NMS,38.0245,-123.4689,2024-03-20T09:25:00,TOWED_CAM,55
20240320_CBAY_012,Pacific Halibut,Crescent City,41.7558,-124.2477,2024-03-20T12:15:00,ROV,38
20240321_MBAY_013,Blue Shark,Monterey Bay,36.6112,-122.2034,2024-03-21T16:00:00,GLIDER,80
20240321_SFBAY_014,Harbor Seal,San Francisco Bay,37.7749,-122.4194,2024-03-21T08:45:00,AERIAL_DRONE,0
20240322_CINMS_015,Garibaldi,Channel Islands NMS,34.0155,-119.7901,2024-03-22T10:30:00,ROV,18
