image_id,species_observed,location,latitude,longitude,timestamp,camera_type,depth_m,ecological_classification,habitat_type,behavior_notes,quality_assessment,quality_score,survey_notes,confidence_level,processed_at,model_used
20240315_MBAY_001,Blue Whale,Monterey Bay,36.8008,-121.9475,2024-03-15T08:42:00,AERIAL_DRONE,0,Balaenoptera musculus,open water / pelagic,"Insufficient metadata to determine precise behavioral state; aerial drone imagery at surface suggests possible surfacing event (respiration), but foraging or transiting cannot be excluded without sequential frames or blow interval data.",Good,4,"Balaenoptera musculus observed via aerial drone survey in Monterey Bay (36.8008°N, 121.9475°W) on 2024-03-15 at 08:42 local time; March timing is consistent with northward spring migration and known aggregation of blue whales in the California Current System. Depth recorded as 0 m, appropriate for aerial platform; species-level ID confidence is moderate pending confirmation of body length and pigmentation pattern from imagery.",Medium,2026-05-29T21:39:52.993484+00:00,claude-sonnet-4-6
20240315_MBAY_002,Humpback Whale,Monterey Bay,36.7954,-121.9612,2024-03-15T09:17:00,AERIAL_DRONE,0,Megaptera novaeangliae,open water / pelagic,"Insufficient metadata to determine precise behavioral state; March timing in Monterey Bay is consistent with northbound spring migration and/or foraging on seasonal upwelling-driven prey aggregations (e.g., Euphausia pacifica, Engraulis mordax).",Excellent,5,"Aerial drone observation of Megaptera novaeangliae recorded at the surface in Monterey Bay (36.7954°N, 121.9612°W) on 2024-03-15; timing and location are consistent with documented spring migratory corridor and known foraging grounds for this species in the California Current System. No data quality flags; precise geolocation, appropriate platform type for surface-visible cetacean, and high taxonomic confidence.",High,2026-05-29T21:39:58.582966+00:00,claude-sonnet-4-6
20240316_CINMS_003,Giant Sea Bass,Channel Islands NMS,34.0195,-119.7782,2024-03-16T11:05:00,ROV,42,Stereolepis gigas,rocky reef,insufficient metadata,Excellent,5,"Stereolepis gigas observed via ROV at 42 m depth within Channel Islands NMS (34.0195°N, 119.7782°W) on 16 March 2024, consistent with known rocky reef habitat use and documented depth range (10–90 m) for this species in southern California waters. Record is geospatially precise with high-resolution ROV platform; no data quality flags identified.",High,2026-05-29T21:40:02.889348+00:00,claude-sonnet-4-6
20240316_CINMS_004,California Sheephead,Channel Islands NMS,34.0221,-119.7614,2024-03-16T11:48:00,ROV,28,Semicossyphus pulcher,rocky reef,insufficient metadata,Excellent,5,"Semicossyphus pulcher observed via ROV at 28 m depth within Channel Islands NMS (34.0221°N, 119.7614°W) on 16 March 2024, consistent with known rocky reef habitat in the Southern California Bight. Depth, geolocation, and platform type are all reliable; species identification is ecologically plausible given location, depth range, and season.",High,2026-05-29T21:40:07.260060+00:00,claude-sonnet-4-6
20240317_PFCA_005,Northern Elephant Seal,Point Farallon,37.6986,-123.0006,2024-03-17T07:30:00,TRAIL_CAM,0,Mirounga angustirostris,intertidal,"Probable haul-out resting behavior; March corresponds to post-breeding/molting season for Northern Elephant Seals at Farallon Islands rookery sites, suggesting individuals may be undergoing catastrophic molt or recovering from breeding exertion.",Excellent,5,"Mirounga angustirostris recorded via trail camera at Southeast Farallon Island (37.6986°N, -123.0006°W) on 2024-03-17 at 07:30 local time; depth = 0 m is consistent with TRAIL_CAM platform and terrestrial haul-out context. Observation aligns with known seasonal presence of elephant seals at this USFWS-managed rookery during the post-breeding molt period (February–April). No data quality flags identified.",High,2026-05-29T21:40:12.893474+00:00,claude-sonnet-4-6
20240317_PFCA_006,Steller Sea Lion,Point Farallon,37.6991,-123.0011,2024-03-17T07:55:00,TRAIL_CAM,0,Eumetopias jubatus,intertidal,"Probable resting or hauling-out behavior based on TRAIL_CAM platform at depth 0 m and early morning timestamp (07:55 local), consistent with known Steller sea lion haul-out activity patterns at the Farallon Islands.",Good,4,"Eumetopias jubatus observed via TRAIL_CAM at Southeast Farallon Island (37.6991°N, 123.0011°W) on 2024-03-17 at 07:55; location and platform are consistent with known haul-out sites for this species. Record is suitable for distribution and abundance modeling; precise individual count and sex/age class not inferable from metadata alone.",High,2026-05-29T21:40:19.547530+00:00,claude-sonnet-4-6
20240318_GLDR_007,Pacific White-sided Dolphin,Central CA Coast,36.5543,-122.8771,2024-03-18T14:20:00,GLIDER,15,Lagenorhynchus obliquidens,open water / pelagic,insufficient metadata,Marginal,3,"Putative Lagenorhynchus obliquidens observed at 15 m depth via underwater glider platform off the Central CA Coast (36.5543°N, 122.8771°W) on 2024-03-18; species is ecologically plausible for this location and season, though glider-based cetacean identification at depth carries elevated uncertainty due to oblique viewing angles and limited image resolution. Data quality flagged Marginal: glider imagery is suboptimal for definitive small cetacean species-level ID, and behavioral context cannot be inferred from available metadata.",Medium,2026-05-29T21:40:24.807397+00:00,claude-sonnet-4-6
20240318_GLDR_008,Common Dolphin,Central CA Coast,36.4902,-122.9134,2024-03-18T15:03:00,GLIDER,22,Delphinus delphis (Short-beaked Common Dolphin); Delphinus capensis (Long-beaked Common Dolphin) noted as alternative,open water / pelagic,insufficient metadata,Marginal,3,"Short-beaked Common Dolphin (Delphinus delphis) recorded at 22 m depth via underwater glider off the Central CA Coast (36.4902°N, -122.9134°W) on 2024-03-18; this location and season are consistent with the known range and winter-spring aggregations of D. delphis in the California Current System. Data quality flagged as marginal: glider platforms offer reliable depth and geolocation but have limited capacity to visually confirm cetacean species identity at depth, and behavioral context cannot be inferred from available metadata; D. capensis cannot be excluded without morphological imagery review.",Medium,2026-05-29T21:40:31.323248+00:00,claude-sonnet-4-6
20240319_MBAY_009,Sea Otter,Elkhorn Slough,36.8376,-121.7427,2024-03-19T10:12:00,AERIAL_DRONE,0,Enhydra lutris nereis,estuarine,"Insufficient metadata to determine specific behavioral state; however, Elkhorn Slough is a well-documented foraging and resting habitat for southern sea otters, making foraging or resting probable given midmorning timestamp.",Excellent,5,"Southern sea otter (Enhydra lutris nereis) observed via aerial drone survey at Elkhorn Slough (36.8376°N, 121.7427°W) on 2024-03-19 at 10:12 local time; location is consistent with known core habitat for this ESA-listed subspecies. No data quality flags; geolocation, platform type, depth, and species identification are internally consistent and reliable for downstream SDM and stock assessment use.",High,2026-05-29T21:40:36.530838+00:00,claude-sonnet-4-6
20240319_CINMS_010,Bocaccio Rockfish,Channel Islands NMS,34.0018,-119.8203,2024-03-19T13:40:00,ROV,95,Sebastes paucispinis,rocky reef,insufficient metadata,Excellent,5,"Sebastes paucispinis (Bocaccio Rockfish) observed via ROV at 95 m depth within Channel Islands NMS (34.0018°N, 119.8203°W) on 2024-03-19; depth and location are consistent with known adult Bocaccio habitat on deep rocky reef structure. No data quality flags identified; record is suitable for species distribution modeling and stock assessment pipelines.",High,2026-05-29T21:40:40.337919+00:00,claude-sonnet-4-6
